LastName,FirstName,Team,OldTeam,GP,Pos,Age,GP,OZ,RQoC,RelC
Brunette,Andrew,CHI,,,LW,38,78,64.1,0.191,-8.6
Seabrook,Brent,CHI,,,D,26,78,49.8,1.522,1.7
Bolland,Dave,CHI,,,C,25,76,32.5,1.386,-9.7
Keith,Duncan,CHI,,,D,28,74,50.9,1.321,-3.2
Sharp,Patrick,CHI,,,LW/RW,30,74,64.1,0.148,15
Bickell,Bryan,CHI,,,LW,25,71,38.6,0.9,-7.7
Kruger,Marcus,CHI,,,C,21,71,44.5,0.43,1.4
Hjalmarsson,Niklas,CHI,,,D,24,69,52,0.738,-3.6
Frolik,Michael,CHI,,,RW/LW,23,63,44.6,0.783,-3.8
Toews,Jonathan,CHI,,,C,23,59,64.7,1.011,14.6
Montador,Steve,CHI,,,D,32,52,61.5,-1.194,6.9
O'Donnell,Sean,CHI,,,D,40,51,59.4,-1.172,-0.4
Morrison*,Brendan,CHI,CGY,28,C,36,39,50.6,-0.246,-9.7
Shaw,Andrew,CHI,,,RW/C,20,37,41.9,1.046,-3.6
Hayes,Jimmy,CHI,,,RW,22,31,59.5,-0.575,-10.3
Carcillo,Daniel,CHI,,,LW,26,28,62.4,-0.029,6.3
Olsen,Dylan,CHI,,,D,20,28,62.1,-0.322,-8.1
Lepisto,Sami,CHI,,,D,27,26,62.5,-1.041,-0.2
Bollig,Brandon,CHI,,,LW/RW,24,18,75.8,-0.911,-19.3
Smith,Ben,CHI,,,RW,23,13,46.2,0.611,-8.4
Olesz,Rostislav,CHI,,,LW/C,26,6,58.1,0.626,-32.8
Pirri,Brandon,CHI,,,C,20,5,65.8,0.133,-24.6
Morin,Jeremy,CHI,,,LW/C,20,3,55.6,-2.088,-13.2
Saad,Brandon,CHI,,,LW,19,2,62.5,2.89,-39.9
Landeskog,Gabriel,COL,,,LW,19,82,54.8,0.911,15
Hejda,Jan,COL,,,D,33,81,35.9,0.635,-14.1
Hejduk,Milan,COL,,,RW,35,81,57.4,0.122,0.3
O'Reilly,Ryan,COL,,,C,20,81,50,0.891,12.4
McClement,Jay,COL,,,C,28,80,34.3,-0.289,-11.2
Stastny,Paul,COL,,,C,26,79,50.7,0.104,0.6
McGinn*,Jamie,COL,SJS,61,LW,23,78,51.7,-0.054,-8.9
O'Brien,Shane,COL,,,D,28,76,58.4,-0.027,7.2
Downie*,Steve,COL,TBL,55,RW/LW,24,75,51.1,0.527,12.2
McLeod,Cody,COL,,,LW,27,75,54.9,-1.172,-6.4
O'Byrne,Ryan,COL,,,D,27,74,32.8,0.523,-18.4
Johnson,Erik,COL,,,D,23,73,59.2,0.075,7
Jones,David,COL,,,RW/LW,27,72,51.2,-0.123,-7.5
Wilson,Ryan,COL,,,D,27,59,54.6,-0.114,5.4
Duchene,Matt,COL,,,C,20,58,57.8,-0.256,3.9
Kobasew,Chuck,COL,,,RW,29,58,54.1,-0.427,-13.3
Elliott,Stefan,COL,,,D,20,39,65.9,-1.41,11.1
Porter,Kevin,COL,,,C,25,35,53.2,-1.325,-12.3
Hunwick,Matt,COL,,,D,26,33,55,-0.589,4.5
Mueller,Peter,COL,,,C,23,32,57.9,-0.004,-2.3
Van Der Gulik,David,COL,,,LW/RW,28,25,40.9,-2.063,-4.4
Olver,Mark,COL,,,C,23,24,52.3,-0.164,0.7
Lindstrom,Joakim,COL,,,C,28,16,65,-0.425,-17.9
Barrie,Tyson,COL,,,D,20,10,73,-0.462,16.9
Malone,Brad,COL,,,C,22,9,35.4,-0.444,3.5
Brophey,Evan,COL,,,C,25,3,60,-2.926,4.5
Connolly,Mike,COL,,,LW,23,2,84.6,-0.92,23.6
Eriksson,Loui,DAL,,,LW,26,82,51.8,0.392,3.3
Fiddler,Vernon,DAL,,,C,31,82,42.2,0.652,-13.2
Ryder,Michael,DAL,,,RW,31,82,51.8,0.573,0.7
Daley,Trevor,DAL,,,D,28,79,46.1,0.061,-7.1
Robidas,Stephane,DAL,,,D,34,75,46.5,1.034,4.5
Nystrom,Eric,DAL,,,LW/RW,28,74,44.5,0.523,-8.1
Ott,Steve,DAL,,,LW/C,29,74,47.4,0.614,6.8
Ribeiro,Mike,DAL,,,C,31,74,53.7,0.59,-4.4
Dvorak,Radek,DAL,,,RW,34,73,44.2,0.65,-14.7
Wandell,Tom,DAL,,,C,24,72,45.3,-0.945,11.2
Benn,Jamie,DAL,,,LW,22,71,48.1,0.493,10.7
Goligoski,Alex,DAL,,,D,26,71,49.8,0.021,16
Burish,Adam,DAL,,,RW,28,65,43.2,-0.249,1.7
Souray,Sheldon,DAL,,,D,35,64,45.9,1.159,1.1
Fistric,Mark,DAL,,,D,25,60,45.5,-0.534,-3.8
Morrow,Brenden,DAL,,,LW,32,57,45.9,0.625,-5.2
Larsen,Philip,DAL,,,D,22,55,50.8,-0.318,0
Dowell,Jake,DAL,,,C,26,52,48.5,-1.419,13.9
Vincour,Tomas,DAL,,,C/RW,21,47,49.7,-0.436,9.2
Petersen,Toby,DAL,,,C,33,39,47,-1.837,9.1
Pardy,Adam,DAL,,,D,27,36,51.3,-0.357,-5.2
Garbutt,Ryan,DAL,,,C,26,20,48.9,-0.786,22.8
Benn,Jordie,DAL,,,D,24,3,38.1,0.324,-14.5
Smith,Reilly,DAL,,,RW,21,3,40,-0.681,-32.4
Dillon,Brenden,DAL,,,D,22,1,16.7,-0.902,25
Wathier,Francis,DAL,,,LW,27,1,28.6,-0.218,-6.6
Glennie,Scott,DAL,,,RW/C,21,1,33.3,0.674,65.4
Fraser,Matt,DAL,,,RW/LW,21,1,-,-7.739,-62.4
Kronwall,Niklas,DET,,,D,30,82,54.5,0.702,-6.6
Zetterberg,Henrik,DET,,,LW/C,31,82,54.5,1.267,6.1
Abdelkader,Justin,DET,,,LW/C,24,81,59.7,-0.595,-3.9
Filppula,Valtteri,DET,,,C,27,81,53.8,1.27,-7.5
Hudler,Jiri,DET,,,C/LW/RW,27,81,55.8,0.789,0.8
Stuart,Brad,DET,,,D,32,81,54.3,0.562,-8.4
Miller,Drew,DET,,,LW,27,80,60.9,-0.653,-1.9
Franzen,Johan,DET,,,RW/C,32,77,56.2,1.02,8.1
White,Ian,DET,,,D,27,77,57.7,0.944,5.7
Cleary,Danny,DET,,,RW,33,75,55.9,0.374,0.8
Holmstrom,Tomas,DET,,,LW,38,74,66.8,-1.6,-5.6
Quincey*,Kyle,DET,COL,54,D,26,72,57.6,-0.029,3.2
Bertuzzi,Todd,DET,,,RW/LW,36,71,53.5,1.151,0.9
Emmerton,Cory,DET,,,C,23,71,63.4,-2.153,-11.1
Datsyuk,Pavel,DET,,,C,33,70,55.5,1.162,13.2
Lidstrom,Nicklas,DET,,,D,41,70,57.1,1.441,8.9
Ericsson,Jonathan,DET,,,D,27,69,59.3,-0.692,-0.1
Helm,Darren,DET,,,C,24,68,56.9,-0.492,3.1
Kindl,Jakub,DET,,,D,24,55,60.1,-1.803,-2.8
Mursak,Jan,DET,,,LW/RW,23,25,68.4,-2.053,-11.1
Nyquist,Gustav,DET,,,C/LW,22,18,61.5,-0.373,3.5
Smith,Brendan,DET,,,D,22,14,61.3,-1.33,9.1
Eaves,Patrick,DET,,,RW,27,10,60,-0.853,7.2
Janik,Doug,DET,,,D,31,9,56.6,-0.494,3.2
Conner,Chris,DET,,,RW,28,8,48,-1.286,-24.1
Brunnstrom,Fabian,DET,,,LW/RW,26,5,78.6,-3.019,3.5
Andersson,Joakim,DET,,,C,22,5,73.3,-0.194,1
Sheahan,Riley,DET,,,C,20,1,25,-5.298,-18.9
Schultz*,Nick,EDM,MIN,62,D,29,82,43.8,0.401,-7.2
Smyth,Ryan,EDM,,,LW,35,82,48.1,1.057,-1.5
Horcoff,Shawn,EDM,,,C,33,81,43.9,1.497,-1
Jones,Ryan,EDM,,,LW,27,79,44.6,0.711,-2.9
Belanger,Eric,EDM,,,C,34,78,43.2,-0.124,-4.1
Eberle,Jordan,EDM,,,RW/C,21,78,60.7,0.483,5.7
Smid,Ladislav,EDM,,,D,25,78,49.3,1.366,-0.6
Gagner,Sam,EDM,,,C,22,75,54.1,0.575,6.3
Petry,Jeff,EDM,,,D,24,73,49.1,0.97,2.6
Hemsky,Ales,EDM,,,RW,28,69,50.3,1.279,8.6
Eager,Ben,EDM,,,LW,27,63,49.3,-0.838,-8.8
Nugent-Hopkins,Ryan,EDM,,,C,18,62,62.5,0.594,5.6
Potter,Corey,EDM,,,D,27,62,54.3,-0.035,4.1
Hall,Taylor,EDM,,,LW,20,61,56.5,0.858,15.2
Petrell,Lennart,EDM,,,LW/C,27,60,48.7,-0.78,-16.1
Lander,Anton,EDM,,,C/LW,20,56,52.2,-0.988,-11.3
Peckham,Theo,EDM,,,D,24,54,51.2,-0.031,-6
Sutton,Andy,EDM,,,D,36,52,48.7,-0.043,6
Whitney,Ryan,EDM,,,D,28,51,51.4,0.187,-8.5
Hordichuk,Darcy,EDM,,,LW,31,43,52.3,-1.716,-9.1
Paajarvi,Magnus,EDM,,,LW,20,41,47.7,-0.282,6.6
Barker,Cam,EDM,,,D,25,25,47.5,-0.586,-4
Teubert,Colten,EDM,,,D,21,24,47.7,-1.365,-5.1
Hartikainen,Teemu,EDM,,,LW,21,17,56,1.312,-4.5
Omark,Linus,EDM,,,LW,24,14,56.9,-0.689,-10.5
Green,Josh,EDM,,,C/LW,34,7,53.7,-0.865,9.6
Chorney*,Taylor,EDM,STL,2,D,24,5,40,-1.529,-27.8
VandeVelde,Chris,EDM,,,C,25,5,42.1,-1.408,-5.1
Plante,Alex,EDM,,,D,22,3,46.2,-1.234,3.1
Cornet,Philippe,EDM,,,LW,21,2,63.6,-2.075,20.3
Rodney,Bryan,EDM,,,D,28,1,60,-0.827,-20.6
Kytnar,Milan,EDM,,,C,22,1,-,-4.756,9.9
Campbell,Brian,FLA,,,D,32,82,54,0.755,9.9
Fleischmann,Tomas,FLA,,,LW/RW,27,82,58.1,0.899,1.4
Weaver,Mike,FLA,,,D,33,82,40.3,1.069,-11
Kopecky,Tomas,FLA,,,RW,29,80,45.6,0.596,-1.7
Weiss,Stephen,FLA,,,C,28,80,55.6,0.869,-2.2
Matthias,Shawn,FLA,,,C,23,79,49.3,-0.166,-0.7
Garrison,Jason,FLA,,,D,27,77,53.7,1.015,10.8
Gudbranson,Erik,FLA,,,D,19,72,51.1,-0.991,-1.3
Versteeg,Kris,FLA,,,RW,25,71,55.4,0.809,4.3
Smithson*,Jerred,FLA,NSH,53,RW/C/LW,32,69,36.6,-0.644,-12.2
Jovanovski,Ed,FLA,,,D,35,66,53.9,-1.087,-6.7
Bergenheim,Sean,FLA,,,LW,27,62,46.1,0.749,9.9
Santorelli,Mike,FLA,,,C,26,60,53.2,-0.485,2.3
Kulikov,Dmitry,FLA,,,D,21,58,45.9,0.464,-3.2
Goc,Marcel,FLA,,,C,28,57,38.2,1.14,9.2
Samuelsson*,Mikael,FLA,VAN,6,RW,35,54,45.9,0.914,5.4
Barch*,Krystofer,FLA,DAL,10,RW,31,51,50.9,-1.57,-6.1
Sturm*,Marco,FLA,VAN,6,LW,33,48,47.1,0.062,3.5
Skille,Jack,FLA,,,RW/LW,24,46,48.2,-0.163,-6.4
Bradley,Matt,FLA,,,RW,33,45,49.8,-0.597,-20.9
Ellerby,Keaton,FLA,,,D,23,40,49.7,0.139,-3
Madden,John,FLA,,,C,38,31,43,-0.526,-14.9
Wolski*,Wojtek,FLA,NYR,9,LW,25,31,58.8,0.428,0.1
Kennedy,Tim,FLA,,,LW,25,27,49.5,-0.725,-6.9
Upshall,Scottie,FLA,,,LW/RW,28,26,50.3,0.156,1.6
Repik,Michal,FLA,,,RW,23,17,48.7,-1.247,16.9
Strachan,Tyson,FLA,,,D,27,15,54.7,-1.268,-3
Dadonov,Evgenii,FLA,,,RW,22,15,68.3,-0.463,13.8
Thomas,Bill,FLA,,,RW,28,7,51.9,-1.243,19.4
Cullen,Mark,FLA,,,C,33,6,42.9,-1.436,3.8
Kearns,Bracken,FLA,,,C,30,5,33.3,-2.858,-21.5
Robak,Colby,FLA,,,D,21,3,70,-1.751,-19.5
Yonkman,Nolan,FLA,,,D,30,1,66.7,-3.676,-0.6
Rallo,Greg,FLA,,,C/RW,30,1,-,-1.348,27.5
Matsumoto,Jon,FLA,,,C,25,1,100,-0.205,73.8
Brown,Dustin,LAK,,,RW,27,82,53,0.886,6.6
Greene,Matt,LAK,,,D,28,82,47.4,-0.494,1.5
Kopitar,Anze,LAK,,,C,24,82,51.4,1.175,13.8
Scuderi,Rob,LAK,,,D,33,82,48.4,0.91,-7.5
Williams,Justin,LAK,,,RW,30,82,52.9,0.654,16.1
Clifford,Kyle,LAK,,,LW,20,81,50,-0.96,-8.2
Stoll,Jarret,LAK,,,C,29,78,47.2,0.091,-1.4
Doughty,Drew,LAK,,,D,22,77,50.8,0.986,1.5
Mitchell,Willie,LAK,,,D,34,76,51.5,0.42,0.1
Richards,Mike,LAK,,,C,26,74,50.2,0.909,-15.4
Lewis,Trevor,LAK,,,C,24,72,51.1,-0.359,-7.6
Fraser,Colin,LAK,,,C,26,67,46.7,-1.118,-9.2
Penner,Dustin,LAK,,,LW,29,65,53.8,0.395,1
Richardson,Brad,LAK,,,C/RW,26,59,53,0.116,14
Carter*,Jeff,LAK,CBJ,39,C,26,55,50,1.349,-3.4
Voynov,Slava,LAK,,,D,21,54,57.4,-0.051,7.8
Martinez,Alec,LAK,,,D,24,51,55.7,-1.295,16.7
Loktionov,Andrei,LAK,,,C,21,39,61.1,-0.126,-2.6
Hunter,Trent,LAK,,,RW,31,38,44.8,-0.28,1.2
Gagne,Simon,LAK,,,LW,31,34,56.9,1.556,6.4
Moreau,Ethan,LAK,,,LW,36,28,43.2,-1.118,-15
King,Dwight,LAK,,,LW,22,27,47.8,1.06,-5.4
Nolan,Jordan,LAK,,,C/RW,22,26,51.1,-0.718,-5.9
Westgarth,Kevin,LAK,,,RW/C,27,25,51.5,-1.472,-13.9
Drewiske,Davis,LAK,,,D,27,9,65.3,-0.269,-9
Parse,Scott,LAK,,,LW/RW/C,27,9,52.9,-0.231,-18.6
