LastName,FirstName,Team,OldTeam,GP,Pos,Age,GP,OZ,RQoC,RelC
Grabovski,Mikhail,TOR,,,C,27,74,53,0.686,14.9
Bozak,Tyler,TOR,,,C,25,73,52.5,0.34,-4.9
MacArthur,Clarke,TOR,,,LW,26,73,52.8,0.72,7.2
Connolly,Tim,TOR,,,C,30,70,49.8,0.428,-2.3
Kulemin,Nikolai,TOR,,,LW/RW,25,70,53.3,0.892,4.6
Crabb,Joey,TOR,,,RW,28,67,43.1,0.135,-3.1
Liles,John-Michael,TOR,,,D,31,66,51.6,-0.192,2.3
Lupul,Joffrey,TOR,,,LW/RW,28,66,55.5,0.512,-1.7
Lombardi,Matthew,TOR,,,C,29,62,52.2,-0.108,-9.4
Franson,Cody,TOR,,,D,24,57,52,-0.698,8
Frattin,Matt,TOR,,,RW,23,56,52.9,0.285,-1.5
Brown,Mike,TOR,,,RW/LW,26,50,41.4,-0.175,-5.6
Komisarek,Mike,TOR,,,D,29,45,42,0.046,-6.5
Rosehill,Jay,TOR,,,LW/D,26,31,63.1,-2.308,-6.2
Dupuis,Philippe,TOR,,,C,26,30,43,-0.587,-1.5
Armstrong,Colby,TOR,,,RW,29,29,50.4,0.153,-7.9
Kadri,Nazem,TOR,,,C,21,21,51.7,-0.068,10.9
Ashton,Carter,TOR,,,RW/LW,21,15,54,-0.507,0
Colborne,Joe,TOR,,,C/LW,21,10,43.6,-0.892,-7.3
Orr,Colton,TOR,,,RW,29,5,23.1,-3.382,-38.4
Hamilton,Ryan,TOR,,,LW,27,2,35.7,-0.137,10.4
Edler,Alexander,VAN,,,D,25,82,57.8,0.597,0.9
Hamhuis,Dan,VAN,,,D,29,82,46.8,0.815,7.3
Hansen,Jannik,VAN,,,RW,25,82,40.4,0.783,-5.2
Lapierre,Maxim,VAN,,,C,26,82,22.2,-0.018,-20.7
Sedin,Henrik,VAN,,,C,31,82,78.6,0.328,18.1
Burrows,Alexandre,VAN,,,LW/RW,30,80,73.8,0.568,16.1
Pahlsson*,Samuel,VAN,CBJ,61,C,34,80,29.7,1.05,-9
Bieksa,Kevin,VAN,,,D,30,78,49.2,0.797,7.6
Malhotra,Manny,VAN,,,C,31,78,13.2,0.49,-32.6
Kesler,Ryan,VAN,,,C,27,77,48,0.581,11.2
Sedin,Daniel,VAN,,,LW,31,72,79.6,0.363,22.5
Higgins,Chris,VAN,,,LW,28,71,46.6,0.956,2.2
Salo,Sami,VAN,,,D,37,69,53.6,0.597,-5
Weise,Dale,VAN,,,RW/C,23,68,20.6,-0.581,-20.2
Booth*,David,VAN,FLA,6,LW,27,62,58.4,0.407,16.1
Gragnani*,Marc-Andre,VAN,BUF,44,D/LW,24,58,63.1,-0.342,13.1
Raymond,Mason,VAN,,,LW,26,55,59.7,0.475,-0.1
Ballard,Keith,VAN,,,D,29,47,44.6,-0.472,-13.9
Alberts,Andrew,VAN,,,D,30,44,39.7,-0.29,-14.5
Kassian*,Zack,VAN,BUF,27,RW,20,44,52.8,-0.425,1.8
Rome,Aaron,VAN,,,D,28,43,42.8,-0.392,-8.2
Tanev,Christopher,VAN,,,D,22,25,44.1,0.378,5.9
Volpatti,Aaron,VAN,,,LW/RW,26,23,21.3,-0.477,-29.9
Ebbett,Andrew,VAN,,,C,28,18,37.9,0.372,2.6
Bitz,Byron,VAN,,,RW,27,10,42.4,-0.045,-11.8
Mancari,Mark,VAN,,,RW/LW,26,6,32.1,-0.946,-9.9
Duco,Mike,VAN,,,RW/LW,24,6,21.7,0.023,-26.4
Sweatt,Bill,VAN,,,LW,23,2,50,-0.729,-11.9
Oreskovich,Victor,VAN,,,RW,25,1,33.3,3.525,-48.8
Ladd,Andrew,WPG,,,LW,26,82,57.8,0.487,17.1
Stuart,Mark,WPG,,,D,27,80,50.2,-0.103,-6.2
Wheeler,Blake,WPG,,,RW,25,80,57.8,0.319,12.6
Glass,Tanner,WPG,,,LW,28,78,34.1,0.892,-24
Slater,Jim,WPG,,,C,29,78,28.5,0.9,-27.9
Wellwood,Kyle,WPG,,,C,28,77,60.5,0.105,15.8
Burmistrov,Alexander,WPG,,,C,20,76,58.7,-0.097,7.9
Kane,Evander,WPG,,,LW/C,20,74,57.6,-0.028,8.7
Little,Bryan,WPG,,,C,24,74,53.6,0.565,13.4
Thorburn,Chris,WPG,,,RW/C,28,72,38.8,0.631,-21.8
Antropov,Nik,WPG,,,C/LW,31,69,56.7,0.08,1.5
Byfuglien,Dustin,WPG,,,D,26,66,53.4,0.674,13.1
Bogosian,Zach,WPG,,,D,21,65,49.4,0.591,-2.7
Clitsome*,Grant,WPG,CBJ,51,D,26,63,49.7,-0.426,-0.2
Stapleton,Tim,WPG,,,C,29,63,56.7,-0.549,-7.6
Enstrom,Tobias,WPG,,,D,27,62,53.4,0.558,14.5
Hainsey,Ron,WPG,,,D,30,56,46.9,0.552,-7.4
Miettinen,Antti,WPG,,,RW,31,45,47.8,0.131,-10.8
Jones,Randy,WPG,,,D,30,39,50.5,-0.913,-6.2
Fehr,Eric,WPG,,,RW,26,35,55.8,-0.364,3.3
Flood,Mark,WPG,,,D,27,33,53.3,-0.757,-9.2
Maxwell*,Ben,WPG,ANA,6,C,23,15,65.7,-1.328,-14.4
Jaffray,Jason,WPG,,,LW/RW,30,13,43.2,-1.481,8.5
Machacek,Spencer,WPG,,,RW,23,13,59.1,-0.058,-10.1
Kulda,Arturs,WPG,,,D,23,9,60,-1.998,-19.3
McArdle,Kenndal,WPG,,,LW,24,9,60,-0.396,-42.1
Cormier,Patrice,WPG,,,C,21,9,41.7,-1.133,11.9
Gagnon,Aaron,WPG,,,C,25,7,58.1,0.056,18.9
Scheifele,Mark,WPG,,,C,18,7,75,-0.611,-1.7
Klingberg,Carl,WPG,,,LW,20,6,77.8,-2.433,49.7
Festerling,Brett,WPG,,,D,25,5,42.9,0.657,2.4
MacLean,Brett,WPG,,,LW,23,5,52.9,0.376,-1.2
Postma,Paul,WPG,,,D,22,3,71.4,-3.664,14.8
Meech,Derek,WPG,,,D,27,2,57.1,0.347,10.4
Alzner,Karl,WSH,,,D,23,82,41.6,1.403,-8.3
Brouwer,Troy,WSH,,,RW,26,82,46.7,1.099,-1.4
Carlson,John,WSH,,,D,21,82,45.3,1.05,-3.8
Chimera,Jason,WSH,,,LW,32,82,48.4,0.734,4.6
Laich,Brooks,WSH,,,C,28,82,43.1,1.279,-6.7
Wideman,Dennis,WSH,,,D,28,82,49,0.132,2.5
Johansson,Marcus,WSH,,,C,21,80,51.8,0.016,-7.2
Hendricks,Matt,WSH,,,C,30,78,44.2,0.725,-3.8
Ovechkin,Alex,WSH,,,LW,26,78,52.7,-0.36,-3.4
Semin,Alexander,WSH,,,LW,27,77,51.1,-0.34,11
Ward,Joel,WSH,,,RW,31,73,45.2,0.486,0.1
Knuble,Mike,WSH,,,RW,39,72,46,0.06,-9.3
Halpern,Jeff,WSH,,,C,35,69,39.2,0.303,2.9
Hamrlik,Roman,WSH,,,D,37,68,46.8,-0.293,7.8
Perreault,Mathieu,WSH,,,C,23,64,51.9,-0.677,14.5
Orlov,Dmitry,WSH,,,D,20,60,51.1,-0.438,6.1
Schultz,Jeff,WSH,,,D,25,54,50.1,-0.249,-10.2
Backstrom,Nicklas,WSH,,,C,24,42,52.2,-0.272,5.2
Beagle,Jay,WSH,,,RW/LW/C,26,41,40.2,0.319,-2
Green,Mike,WSH,,,D,26,32,50,-0.567,6.3
Eakin,Cody,WSH,,,C,20,30,51.6,-0.403,5.9
Erskine,John,WSH,,,D,31,28,54.9,-1.078,-3.1
Aucoin,Keith,WSH,,,RW/C,33,27,50.8,-1.091,16.8
Marshall*,Kevin,WSH,PHI,10,D,22,10,61.9,-0.429,-11
Kundratek,Tomas,WSH,,,D,22,5,50,-1.839,-2.6
Rechlicz,Joel,WSH,,,RW,24,3,0,0.643,-34.2
Collins,Sean,WSH,,,D,28,2,42.9,-3.163,24.4
King,DJ,WSH,,,LW,27,1,16.7,-0.859,-9.3
